ROW_NUM,CL_NM,LEGACY_WORD_NM,SRCLANG_NM,EASY_WORD_NM
1,농업기반,관정,管井,우물
2,농업기반,몽리면적,夢利面積,물댈 면적
3,농업기반,사토,砂土,모래흙
4,농업기반,한발,旱魃,가뭄
5,농업기반,건답,乾畓,마른논
6,농업기반,배수,排水,물빠짐
7,농업기반,지력,地力,땅심
8,농업기반,표토,表土,겉흙
9,농업기반,한해,旱害,가뭄피해
10,농업기반,한해,寒害,추위피해
11,농업기반,정지,整地,땅 고르기
12,농업기반,관개,灌漑,물대기
13,농업기반,살수,撒水,물 뿌리기
14,농업기반,개거,開渠,겉도랑
15,농업기반,굴착,掘鑿,파내기
16,농업기반,도수로,導水路,물 댈 도랑
17,농업기반,수갑,水閘,수문
18,농업기반,수로교,水路橋,물길다리
19,농업기반,수리안전답,水利安全畓,물사정 좋은 논
20,농업기반,수원공,水源供,농업용수 공급시설
21,농업기반,승수로,承水路,물받이도랑
22,농업기반,암거,暗渠,속도랑
23,농업기반,양수,揚水,물푸기
24,농업기반,용수로,用水路,물도랑
25,농업기반,제당,堤塘,물둑/제방
26,농업기반,제체,堤體,둑 몸체
27,농업기반,집수정,集水井,물 웅덩이
28,농업기반,하상,河床,하천바닥
29,농작물,곡과,曲果,굽은 과일
30,농작물,공동과,空胴果,속 빈 과일
31,농작물,과경,果徑,열매지름
32,농작물,과경,果梗,열매꼭지
33,농작물,과숙,過熟,농익음
34,농작물,미강,米糠,쌀겨
35,농작물,본엽,本葉,본잎
36,농작물,삽시,揷枾,떫은 감
37,농작물,십자화과,十字花科,배추과
38,농작물,아접,芽接,눈접
39,농작물,엽채류,葉菜類,잎채소류
40,농작물,유료작물,油料作物,기름작물
41,농작물,포복경,匍匐莖,기는 줄기
42,농작물,과피,果皮,과일껍질
43,농작물,과형,果形,과일모양
44,농작물,근채류,根菜類,뿌리채소류
45,농작물,기공,氣孔,숨구멍
46,농작물,낙과,落果,"떨어진열매, 열매 떨어짐"
47,농작물,내피,內皮,속껍질
48,농작물,동작물,冬作物,겨울작물
49,농작물,두류,豆類,콩류
50,농작물,맹아,萌芽,"움트기, 움"
51,농작물,발아,發芽,싹트기
52,농작물,방향식물,芳香植物,향기식물
53,농작물,선과,選果,과일고르기
54,농작물,조류,藻類,이끼류
55,농작물,표피,表皮,겉껍질
56,농작물,구근,球根,알뿌리
57,재배기술,가식,假植,임시심기
58,재배기술,간벌,間伐,솎아베기
59,재배기술,객토,客土,새흙넣기
60,재배기술,경운,耕耘,흙갈이
61,재배기술,기비,基肥,밑거름
62,재배기술,도장,徒長,웃자람
63,재배기술,도복,倒伏,쓰러짐
64,재배기술,만상해,晩霜害,늦서리피해
65,재배기술,멀칭,mulching ,바닥덮기
66,재배기술,복토,覆土,흙덮기
67,재배기술,부초,敷草,풀덮기
68,재배기술,비배관리,肥培管理,거름 주어 가꾸기
69,재배기술,심경,深耕,깊이갈이
70,재배기술,이병수율,罹病穗率,병든 이삭율
71,재배기술,적과,摘果,열매솎기
72,재배기술,휴립,畦立,이랑만들기
73,재배기술,간작,間作,사이짓기
74,재배기술,건답직파,乾畓直播,마른논 씨뿌리기
75,재배기술,결속,結束,다발묶기
76,재배기술,골분,骨粉 ,뼛가루
77,재배기술,만파,晩播,늦뿌림
78,재배기술,배배양,胚培養,씨눈배양
79,재배기술,병과,病果,병든 열매
80,재배기술,삽목,揷木,꺾꽂이
81,재배기술,시비,施肥,비료주기
82,재배기술,윤작,輪作,돌려짓기
83,재배기술,재식거리,栽植距離,심는거리
84,재배기술,지주,支柱,받침대
85,재배기술,차광,遮光,빛가림
86,재배기술,회분,灰粉,재
87,재배기술,채종,採種,종자생산
88,재배기술,수도,水稻,논벼
89,재배기술,이식,移植,옮겨심기
90,재배기술,최아,催芽,싹 틔우기
91,재배기술,침종,浸種,씨 담그기
92,재배기술,선종,選種,씨 고르기
93,재배기술,연작,連作,이어짓기
94,재배기술,이앙기,移秧期,모내는 시기
95,재배기술,수잉기,穗孕期,이삭밴 시기
96,재배기술,혼작,混作,섞어짓기
97,축산,검란기,檢卵機,알검사기
98,축산,견치,犬齒,송곳니
99,축산,사양,飼養,"치기, 기르기"
100,축산,순치,馴致,길들이기
